trip_id,rider_id,zone_name,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type,hour,day_of_week,month,ride_frequency,avg_ride_distance,avg_ride_fare,is_peak_hour,days_since_signup,ride_cancellation_rate,fare_per_km,surge_flag_new
T00001,R0037,Zone_10,0.9307654594798038,0.8434836916376909,0.8483331723138584,Cash,2023-11-13,0.0,Aadhya Iyer,32.0,2,Ahmedabad,2020-11-21,489.0,6.0,3.36,2440.0,,35.4,Industrial,0,0,11,High,0.0019034058476069607,0.0017348326632185243,0,1988,0.012269938650306749,0.9114360268461015,0
T00002,R0104,Zone_9,0.7540370982562828,0.7018223237286133,0.6911568960201653,Cash,2023-07-28,1.0,Diya Gupta,52.0,1,Kolkata,2021-05-27,328.0,1.0,3.7,11037.0,,56.1,Mixed,0,4,7,High,0.0022988935922447647,0.0021071856585980647,0,1801,0.003048780487804878,0.91660860933563,0
T00003,R0045,Zone_8,0.7893250158203591,0.6769813810423784,0.7160187583807646,Cash,2024-01-14,1.0,Saanvi Iyer,34.0,2,Ahmedabad,2023-07-12,100.0,16.0,4.88,4516.0,,31.0,Business,0,6,1,Medium,0.00789325015820359,0.007160187583807646,0,1025,0.16,0.9071279181955154,0
T00004,R0089,Zone_2,0.9217015571182082,0.7987468207651762,0.968136054293878,Cash,2023-12-13,0.0,Saanvi Reddy,48.0,2,Surat,2022-09-21,308.0,6.0,3.91,6371.0,,58.4,Residential,0,2,12,High,0.0029925375231110657,0.003143298877577526,0,1319,0.01948051948051948,1.0503791024513962,1
T00005,R0003,Zone_5,0.8611384477060982,0.8238522453205442,0.7922150347752339,UPI,2023-03-15,1.0,Kavya Reddy,34.0,1,Pune,2023-05-04,45.0,9.0,3.76,2590.0,,43.9,Business,0,2,3,Low,0.019136409949024404,0.017604778550560755,0,1094,0.2,0.9199624484141168,0
T00006,R0255,Zone_2,0.9577909442019008,0.8594429529050933,0.9791981985747962,UPI,2024-02-10,1.0,Reyansh Sharma,37.0,0,Bengaluru,2021-07-06,475.0,42.0,3.12,6371.0,,58.4,Residential,0,5,2,High,0.002016401987793475,0.002061469891736413,0,1761,0.08842105263157894,1.0223506543912184,1
T00007,R0224,Zone_4,0.7809048107385231,0.7236489570881063,0.7560327291813214,Credit Card,2023-08-21,1.0,Ishaan Sharma,29.0,0,Ahmedabad,2020-08-04,200.0,1.0,4.31,4038.0,,48.2,Business,0,0,8,High,0.003904524053692616,0.003780163645906607,0,2097,0.005,0.9681496627819727,0
T00008,R0039,Zone_3,0.9298598258615522,0.8951060522778999,0.8447361472688419,Wallet,2024-03-10,0.0,Aadhya Iyer,24.0,1,Chennai,2023-11-18,190.0,14.0,4.2,12971.0,,38.0,Business,0,6,3,High,0.004893999083481854,0.004445979722467589,0,896,0.07368421052631578,0.9084553647493698,0
T00009,R0223,Zone_5,0.9036480843388341,0.8209632371533966,0.9199508643292125,Credit Card,2024-05-20,0.0,Meera Ghosh,30.0,0,Surat,2019-11-29,158.0,10.0,4.04,2590.0,,43.9,Business,0,0,5,High,0.005719291673030596,0.005822473824868433,0,2346,0.06329113924050633,1.018041071820903,1
T00010,R0236,Zone_5,0.8630266708607278,0.7693997655706565,0.8388047897924169,UPI,2023-03-01,1.0,Arjun Gupta,28.0,1,Ahmedabad,2020-08-10,61.0,1.0,3.36,2590.0,,43.9,Business,0,2,3,Medium,0.014147978210831604,0.01375089819331831,0,2091,0.01639344262295082,0.9719337977768943,0
T00011,R0191,Zone_10,0.9515780608888966,0.8776637987150776,0.9171481610588895,Credit Card,2023-09-09,0.0,Meera Gupta,33.0,2,Surat,2020-08-14,87.0,6.0,4.56,2440.0,,35.4,Industrial,0,5,9,Medium,0.010937678860791914,0.010541932885734363,0,2087,0.06896551724137931,0.9638181025339685,0
T00012,R0199,Zone_1,0.9258015806221745,0.8158319411090206,0.888762601939813,Wallet,2023-12-15,0.0,Aarav Das,29.0,1,Ahmedabad,2021-08-03,344.0,27.0,3.91,4921.0,,30.9,Residential,0,4,12,High,0.002691283664599345,0.002583612214941317,0,1733,0.07848837209302326,0.9599925303028,0
T00013,R0248,Zone_6,0.7048613094337441,0.589911253402498,0.6790687059290829,Wallet,2023-12-12,1.0,Vivaan Ghosh,18.0,0,Chennai,2021-10-24,104.0,12.0,3.65,14627.0,,37.6,Mixed,0,1,12,Medium,0.006777512590709078,0.006529506787779643,0,1651,0.11538461538461539,0.963407548180816,0
T00014,R0300,Zone_2,0.9234093344587962,0.8334306220655278,0.9642060834756268,Cash,2024-08-10,0.0,Saanvi Iyer,38.0,0,Kolkata,2023-07-08,291.0,7.0,3.67,6371.0,,58.4,Residential,0,5,8,High,0.003173227953466654,0.003313422967270195,0,1029,0.024054982817869417,1.044180568134219,1
